# 
# Header Description:
# 
# Version: v3.1.1.2 Platform: 14 Manufacturer: samsung Model: SM-M055F GNSS Hardware Model Name: MediaTek,MT6631,MTK_MNLD_default,MNL_VER_default
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2,CalibrationAccuracy
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2,CalibrationAccuracy
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec,CalibrationAccuracy
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec,CalibrationAccuracy
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT,CalibrationAccuracy
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT,CalibrationAccuracy
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa,CalibrationAccuracy
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg,CalibrationAccuracy
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
# GameRotationVector,utcTimeMillis,elapsedRealtimeNanos,x,y,z,w
# 
Accel,1769597297646,61424394271333,0.48900002,1.848,9.12405,3
Accel,1769597297651,61424399047294,0.41295,1.86705,9.12405,3
Accel,1769597297655,61424403821330,-0.16095,1.848,9.1050005,3
Accel,1769597297660,61424408595371,-0.18,1.86705,9.12405,3
Accel,1769597297665,61424413370732,-0.16095,1.848,9.1050005,3
Accel,1769597297670,61424418146115,-0.18,1.848,9.14295,3
Accel,1769597297674,61424422922077,-0.16095,1.8090001,9.14295,3
Accel,1769597297679,61424427698038,-0.18,1.7899501,9.201,3
Accel,1769597297684,61424432471267,-0.16095,1.7329501,9.220051,3
Accel,1769597297689,61424437244500,-0.16095,1.69395,9.27705,3
Accel,1769597297694,61424442021425,-0.123,1.6180501,9.295951,3
Accel,1769597297698,61424446798346,-0.123,1.5790501,9.354,3
Accel,1769597297703,61424451572834,-0.08400001,1.005,9.354,3
Accel,1769597297708,61424456347337,-0.064950004,1.02405,9.373051,3
Accel,1769597297713,61424461122529,0.010950001,1.005,9.354,3
Accel,1769597297717,61424465897720,0.60405004,1.04295,9.373051,3
Accel,1769597297722,61424470673764,0.62295,1.04295,9.354,3
Accel,1769597297727,61424475449803,0.60405004,1.1010001,9.354,3
Accel,1769597297732,61424480227154,0.62295,1.1200501,9.315001,3
Accel,1769597297737,61424485004501,0.62295,1.7329501,9.315001,3
Accel,1769597297741,61424489780075,0.64305,1.7329501,9.295951,3
Accel,1769597297746,61424494555654,0.66195005,1.7899501,9.315001,3
Accel,1769597297751,61424499332693,0.68100005,2.42205,9.27705,3
Accel,1769597297756,61424504109730,0.66195005,2.46105,9.27705,3
Accel,1769597297760,61424508885576,0.66195005,2.499,9.220051,3
Accel,1769597297765,61424513661423,0.60405004,3.1879501,9.201,3
Accel,1769597297770,61424518437756,0.56595004,3.1879501,8.587951,3
Accel,1769597297775,61424523214101,-0.29505002,3.2650502,8.587951,3
Accel,1769597297779,61424527987638,-0.333,3.8209503,8.511001,3
Accel,1769597297784,61424532761179,-1.09905,3.8590503,7.7830505,3
Accel,1769597297789,61424537535159,-1.1190001,3.8590503,7.7260504,3
Accel,1769597297794,61424542309158,-1.8270001,3.897,7.18905,3
Accel,1769597297799,61424547085120,-1.866,3.897,7.1320505,3
Accel,1769597297803,61424551861081,-2.4400501,3.93495,7.0939503,3
Accel,1769597297808,61424556635426,-2.4400501,3.93495,6.4609504,3
Accel,1769597297813,61424561409773,-2.4790502,3.9550502,6.4810505,3
Accel,1769597297818,61424566183312,-2.5170002,3.93495,6.4420505,3
Accel,1769597297822,61424570956851,-2.5549502,3.9550502,6.4420505,3
Accel,1769597297827,61424575730207,-2.53605,3.9160502,6.40395,3
Accel,1769597297832,61424580503554,-2.5549502,3.9160502,6.4230003,3
Accel,1769597297837,61424585280478,-2.5170002,3.8590503,6.40395,3
Accel,1769597297842,61424590057399,-2.4790502,3.8400002,6.4420505,3
Accel,1769597297846,61424594831441,-1.69305,3.7819502,6.4609504,3
Accel,1769597297851,61424599605482,-1.7119501,3.76305,6.5190005,3
Status,,58,0,1,11,1575420030,0.00,300.0,67.0,0,0,0,0.0
Status,,58,1,1,21,1575420030,34.60,159.0,45.0,1,0,0,29.599998
Status,,58,2,1,22,1575420030,40.60,114.0,43.0,1,0,0,35.6
Status,,58,3,1,6,1575420030,0.00,18.0,41.0,0,0,0,0.0
Status,,58,4,1,24,1575420030,43.70,268.0,33.0,1,0,0,38.7
Status,,58,5,1,19,1575420030,0.00,38.0,28.0,0,0,0,0.0
Status,,58,6,1,14,1575420030,41.30,127.0,27.0,1,0,0,36.3
Status,,58,7,1,5,1575420030,41.00,189.0,25.0,1,0,0,36.0
Status,,58,8,1,12,1575420030,0.00,330.0,25.0,0,0,0,0.0
Status,,58,9,1,17,1575420030,0.00,60.0,16.0,0,0,0,0.0
